Folio,Periodo,Genero,Nivel,Entrada,PNA,PAA,Admitido,PrepaTEC,Perfil,Inscrito,P_Beca,P_Prestamo,Edad,Nivel_SE,Rezago,Tipo_Zona,Solicitud_B,FGS,Papas_Exatec,Foraneo,Intencion
DDHHIE,AD19,M,Profesional,ESC,83.88,,1,SI,NC,Si,0,0,20,7,Bajo,Urbano,No,No,Sin información,Local,Sin informacion
DDHIJH,AD19,M,Profesional,SLD,84.58,1320,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Local,Sin informacion
DDHJGC,AD19,M,Profesional,AMC,80.72,,1,SI,NC,Si,0,0,19,Sin información,Sin información,Urbano,No,No,Sin información,Local,Sin informacion
DDHJJH,AD19,M,Profesional,IIT,74.76,,1,SI,NC,Si,0,0,19,7,Bajo,Urbano,No,No,Sin información,Local,Sin informacion
DDHJKF,AD19,F,Profesional,ESC,82.67,,1,SI,NC,Si,0,0,19,Sin información,Bajo,Urbano,No,No,Si,Local,No
DDHKBG,AD19,M,Profesional,IIT,82.47,,1,SI,NC,Si,0.4,0.2,19,Sin información,Sin información,Urbano,Si,No,Sin información,Local,Si
DDHKBH,AD19,F,Profesional,IIT,87.22,,1,SI,NC,Si,0,0,19,7,Bajo,Urbano,No,No,Si,Local,Si
DDHKBJ,AD19,M,Profesional,ICI,88.5,,1,SI,NC,Si,0.2,0.2,19,7,Bajo,Urbano,No,No,Sin información,Local,Si
DDHKCE,AD19,M,Profesional,NEG,82.65,,1,SI,NC,No,0,0,19,7,Bajo,Urbano,No,Si,Sin información,Local,Si
DDHKCI,AD19,M,Profesional,NEG,89.07,1400,1,SI,NC,Si,0.15,0.15,18,7,Bajo,Urbano,Si,No,Sin información,Local,Si
DDHKCK,AD19,M,Profesional,IIT,84.95,,1,SI,NC,Si,0,0.25,19,7,Bajo,Urbano,Si,No,Si,Local,Si
DDHKDB,AD19,M,Profesional,ESC,87.5,,1,SI,NC,No,0,0,18,7,Bajo,Urbano,No,No,Si,Local,No
DDHKDF,AD19,M,Profesional,ICI,90.8,1440,1,SI,Perfil A+,Si,0.45,0.25,18,Sin información,Bajo,Urbano,No,No,Sin información,Local,Si
DDHKDH,AD19,F,Profesional,NEG,89.5,,1,SI,NC,Si,0.2,0.2,18,Sin información,Bajo,Urbano,Si,Si,Sin información,Local,Si
DDHKEC,AD19,F,Profesional,NEG,91.45,,1,SI,Perfil A+,Si,0,0,18,7,Bajo,Urbano,No,No,Sin información,Local,No
DDHKED,AD19,M,Profesional,IIT,89.05,,1,SI,NC,Si,0.35,0.25,19,7,Bajo,Urbano,Si,No,Sin información,Local,No
DDHKEG,AD19,F,Profesional,NEG,86.27,,1,SI,NC,Si,0.25,0.25,19,7,Bajo,Urbano,Si,No,Sin información,Local,Si
DDHKEJ,AD19,M,Profesional,NEG,90.92,1370,1,SI,Perfil A+,Si,0.25,0.25,19,7,Bajo,Urbano,Si,No,Si,Local,Si
DDHKFB,AD19,M,Profesional,IIT,89.25,,1,SI,NC,Si,0.25,0.25,19,Sin información,Sin información,Urbano,Si,Si,Sin información,Local,No
DDHKFC,AD19,F,Profesional,NEG,83.95,,1,SI,NC,Si,0.4,0.2,19,7,Bajo,Urbano,Si,No,Sin información,Local,No
DDHKFD,AD19,F,Profesional,NEG,82.12,,1,SI,NC,Si,0,0.25,18,7,Bajo,Urbano,Si,No,Sin información,Local,No
DDHKFF,AD19,M,Profesional,NEG,88.4,,1,SI,NC,Si,0.35,0.25,18,7,Bajo,Urbano,Si,No,Sin información,Local,Si
DDHKFG,AD19,F,Profesional,NEG,91.2,1340,1,NO,Perfil A,No,0,0,19,7,Bajo,Urbano,No,No,Sin información,Local,No aplica
DDHKFI,AD19,M,Profesional,AMC,80.5,,1,SI,NC,Si,0,0,19,7,Bajo,Urbano,No,Si,Sin información,Local,No
