Date,Open,High,Low,Close,Adj Close,Volume
2017-12-29,158.050003,158.500000,157.509995,157.580002,153.147568,2616100
2018-01-02,158.300003,159.389999,156.029999,157.039993,152.622742,5108400
2018-01-03,157.039993,157.490005,155.399994,157.279999,152.856018,4146100
2018-01-04,157.889999,159.580002,157.020004,159.440002,154.955246,4865800
2018-01-05,160.259995,162.050003,159.639999,161.960007,157.404373,3945400
2018-01-08,164.110001,166.429993,162.550003,166.029999,161.359879,5929200
2018-01-09,166.330002,167.410004,165.089996,166.429993,161.748611,4522900
2018-01-10,165.899994,167.529999,164.500000,165.869995,161.204376,5478600
2018-01-11,166.899994,169.529999,165.639999,169.199997,164.440735,4199000
2018-01-12,169.990005,170.669998,169.229996,170.300003,165.509750,4127900
2018-01-16,172.899994,173.240005,167.570007,169.309998,164.547623,8530600
2018-01-17,169.320007,170.110001,168.500000,168.500000,163.760391,5559900
2018-01-18,169.330002,170.759995,168.089996,168.830002,164.081116,4668800
2018-01-19,169.630005,170.449997,168.610001,170.410004,166.385376,5796700
2018-01-22,170.320007,170.910004,168.479996,170.889999,166.854034,3540900
2018-01-23,172.000000,172.050003,169.199997,169.429993,165.428528,5036500
2018-01-24,171.399994,172.449997,167.669998,168.339996,164.364273,8241000
2018-01-25,173.100006,173.100006,162.460007,169.369995,165.369934,16937100
2018-01-26,168.809998,169.000000,164.550003,167.059998,163.114487,9045300
2018-01-29,165.580002,165.880005,159.419998,162.580002,158.740311,9496800
2018-01-30,160.330002,164.710007,159.809998,163.759995,159.892441,8694800
2018-01-31,164.699997,165.789993,161.889999,162.779999,158.935577,7014000
2018-02-01,161.240005,163.740005,160.179993,162.240005,158.408356,4323600
2018-02-02,160.770004,160.800003,156.529999,157.490005,153.770508,7602800
2018-02-05,154.929993,158.929993,142.850006,151.080002,147.511917,11390500
2018-02-06,148.070007,156.559998,146.809998,156.410004,152.716019,13908700
2018-02-07,155.360001,158.089996,154.279999,154.339996,150.694901,7156500
2018-02-08,153.850006,154.190002,145.919998,145.990005,142.542114,9101900
2018-02-09,148.710007,150.889999,142.880005,149.210007,145.686066,9528100
2018-02-12,151.869995,153.449997,150.250000,152.289993,148.693314,5756800
2018-02-13,151.250000,155.199997,151.000000,153.970001,150.333649,5512100
2018-02-14,152.389999,158.589996,152.339996,158.059998,154.327057,5560100
2018-02-15,159.800003,160.339996,157.479996,159.979996,156.201706,4914500
2018-02-16,160.130005,161.000000,156.089996,156.289993,152.598846,5991600
2018-02-20,155.169998,158.250000,154.270004,155.559998,151.886093,5094600
2018-02-21,155.699997,158.399994,155.039993,155.229996,151.563889,4179400
2018-02-22,156.410004,159.779999,156.199997,158.860001,155.108154,4723300
2018-02-23,159.399994,162.479996,159.220001,162.410004,158.574326,4450800
