Date,Open,High,Low,Close,Adj Close,Volume
2017-12-29,186.460007,187.600006,185.929993,186.119995,183.691284,2028000
2018-01-02,187.229996,190.679993,186.740005,188.320007,185.862579,2509300
2018-01-03,188.820007,192.100006,188.380005,190.580002,188.093094,3364400
2018-01-04,192.000000,192.300003,187.559998,189.100006,186.632401,3525800
2018-01-05,189.429993,189.679993,186.720001,187.750000,185.300018,2819000
2018-01-08,187.320007,188.979996,187.250000,188.479996,186.020493,1961800
2018-01-09,189.009995,189.300003,186.149994,186.289993,183.859085,2241900
2018-01-10,185.750000,186.240005,183.880005,185.419998,183.000412,2609500
2018-01-11,185.429993,190.669998,185.029999,189.380005,186.908768,4678600
2018-01-12,190.100006,192.179993,190.000000,191.839996,189.336639,3499500
2018-01-16,192.350006,192.839996,190.889999,191.529999,189.030685,2006600
2018-01-17,192.529999,192.559998,191.339996,192.289993,189.780777,2534000
2018-01-18,192.229996,193.029999,191.220001,191.509995,189.010956,1908000
2018-01-19,191.710007,192.639999,191.160004,192.289993,189.780777,2353800
2018-01-22,192.500000,194.759995,192.059998,194.380005,191.843491,3009100
2018-01-23,193.610001,194.100006,192.070007,193.419998,190.896027,2316400
2018-01-24,194.429993,194.750000,191.929993,194.240005,191.705338,2799200
2018-01-25,195.000000,198.449997,194.740005,197.949997,195.366898,3558700
2018-01-26,197.750000,199.229996,195.690002,198.910004,196.314407,2756200
2018-01-29,198.369995,199.880005,197.559998,198.320007,195.732086,2031100
2018-01-30,197.589996,198.789993,196.080002,197.910004,195.327438,2285000
2018-01-31,197.440002,198.470001,194.100006,194.869995,192.327118,2682300
2018-02-01,193.410004,195.399994,192.440002,193.470001,190.945374,2096600
2018-02-02,191.250000,193.600006,190.800003,190.990005,188.497742,2386600
2018-02-05,190.660004,192.100006,182.529999,182.770004,180.385010,3407200
2018-02-06,178.910004,185.240005,176.199997,185.009995,182.595764,4067900
2018-02-07,184.600006,186.190002,183.070007,183.190002,180.799530,2594800
2018-02-08,184.509995,184.509995,178.529999,178.610001,176.279297,3013200
2018-02-09,179.779999,182.070007,175.789993,180.720001,178.361771,2777200
2018-02-12,181.839996,183.259995,180.380005,181.059998,178.697311,1596200
2018-02-13,180.220001,184.600006,180.050003,184.149994,181.746979,2123900
2018-02-14,182.710007,188.479996,182.309998,187.350006,184.905228,2191000
2018-02-15,188.089996,191.710007,186.570007,191.479996,189.487045,2072900
2018-02-16,191.449997,194.619995,191.039993,191.559998,189.566223,1969300
2018-02-20,189.869995,191.479996,187.630005,188.119995,186.162003,2202100
2018-02-21,188.529999,189.139999,185.690002,185.750000,183.816681,1747200
2018-02-22,186.350006,188.330002,185.660004,186.589996,184.647949,1360100
2018-02-23,187.830002,189.850006,185.910004,189.809998,187.834427,1561700
2018-02-26,190.100006,193.100006,189.929993,192.809998,190.803207,1852400
2018-02-27,193.449997,195.520004,190.100006,190.100006,188.121414,2170400
2018-02-28,191.600006,193.759995,190.889999,190.899994,188.913071,2179800
2018-03-01,191.309998,192.990005,187.320007,189.029999,187.062546,2447700
2018-03-02,187.479996,190.389999,187.220001,189.330002,187.359421,2275900
2018-03-05,188.449997,191.979996,187.500000,191.479996,189.487045,2155800
2018-03-06,192.139999,192.250000,190.070007,191.460007,189.467270,2458700
2018-03-07,189.210007,189.750000,184.779999,187.360001,185.409943,5157100
2018-03-08,186.190002,186.350006,183.080002,185.690002,183.757309,6061500
2018-03-09,186.500000,188.639999,184.220001,188.580002,186.617233,3288100
2018-03-12,188.270004,190.100006,187.550003,189.369995,187.399002,2394100
2018-03-13,190.050003,190.119995,186.800003,187.460007,185.508896,1964300
2018-03-14,188.779999,189.009995,183.500000,184.630005,182.708359,2866000
2018-03-15,184.820007,186.570007,184.160004,185.509995,183.579178,1811300
2018-03-16,186.179993,186.250000,184.470001,185.869995,183.935440,3569400
2018-03-19,185.630005,185.979996,182.809998,184.149994,182.233322,2493200
2018-03-20,185.100006,187.580002,184.600006,187.350006,185.400024,1852500
2018-03-21,186.830002,187.889999,186.059998,186.070007,184.133362,2048300
2018-03-22,184.899994,185.550003,182.500000,182.639999,180.739059,2489800
2018-03-23,183.279999,184.449997,180.830002,180.839996,178.957794,2351800
2018-03-26,183.029999,187.559998,182.339996,187.220001,185.271362,2036600
2018-03-27,187.440002,187.660004,182.059998,183.149994,181.243744,2495300
2018-03-28,183.610001,184.619995,181.229996,183.610001,181.698959,2168700
2018-03-29,184.740005,188.639999,184.410004,188.429993,186.468796,3016000
2018-04-02,186.910004,186.910004,181.050003,182.750000,180.847900,3599200
2018-04-03,183.529999,184.169998,181.350006,182.610001,180.709366,2287000
2018-04-04,181.130005,186.350006,180.940002,185.520004,183.589081,2111000
2018-04-05,186.699997,187.000000,184.929993,186.250000,184.311493,1933600
2018-04-06,185.339996,187.250000,183.100006,183.960007,182.045334,2259000
2018-04-09,185.199997,187.399994,183.500000,184.410004,182.490631,1946000
2018-04-10,185.750000,185.970001,182.169998,183.550003,181.639587,2526000
2018-04-11,182.250000,186.369995,182.220001,184.649994,182.728119,1697300
2018-04-12,185.500000,190.039993,185.490005,188.820007,186.854752,2841600
2018-04-13,189.809998,189.830002,187.009995,188.910004,186.943817,1744400
2018-04-16,191.839996,195.800003,191.380005,194.580002,192.554794,3026800
2018-04-17,195.660004,196.880005,194.729996,196.000000,193.960007,2160500
2018-04-18,196.300003,197.770004,196.119995,196.509995,194.464691,1663100
2018-04-19,196.160004,196.399994,193.500000,195.070007,193.039703,2427600
2018-04-20,194.429993,195.669998,192.750000,193.559998,191.545395,2252800
2018-04-23,193.809998,194.380005,192.259995,193.350006,191.337585,1618000
2018-04-24,194.539993,195.360001,191.149994,192.509995,190.506317,1598900
2018-04-25,192.229996,194.669998,191.389999,193.970001,191.951141,1311700
2018-04-26,194.119995,196.440002,193.339996,195.259995,193.227692,1445800
2018-04-27,194.949997,196.919998,194.529999,196.580002,194.533966,1563100
2018-04-30,197.100006,199.039993,196.389999,197.160004,195.107941,2165000
2018-05-01,196.490005,197.080002,193.509995,196.550003,194.504272,1413200
2018-05-02,195.479996,195.580002,192.449997,194.000000,191.980820,2498100
2018-05-03,193.919998,193.990005,190.179993,193.009995,191.001114,1815500
2018-05-04,192.839996,196.399994,191.279999,195.190002,193.158432,1704500
2018-05-07,195.779999,195.800003,192.210007,193.059998,191.050583,2361900
2018-05-08,192.990005,195.199997,192.419998,194.479996,192.455811,1908600
2018-05-09,194.149994,196.419998,193.149994,196.039993,193.999557,1999100
2018-05-10,196.050003,196.929993,194.199997,195.449997,193.979736,1874200
2018-05-11,195.330002,195.979996,194.570007,195.759995,194.287415,1296300
2018-05-14,195.960007,197.270004,195.419998,195.880005,194.406509,1440900
2018-05-15,194.759995,196.699997,193.259995,195.479996,194.009506,2319600
2018-05-16,196.070007,199.350006,195.000000,198.710007,197.215225,2163200
2018-05-17,199.059998,201.350006,197.889999,199.600006,198.098541,2391000
2018-05-18,199.500000,199.520004,197.779999,198.960007,197.463348,1624600
2018-05-21,199.600006,201.339996,199.089996,199.619995,198.118362,1202800
2018-05-22,199.720001,201.770004,198.830002,198.970001,197.473251,1563600
2018-05-23,199.089996,199.089996,196.770004,198.139999,196.649506,1555700
2018-05-24,198.289993,199.089996,196.820007,198.889999,197.393860,1176300
2018-05-25,198.889999,200.220001,197.820007,198.360001,196.867859,1331000
2018-05-29,198.100006,198.839996,196.000000,196.740005,195.260040,2298100
2018-05-30,198.160004,200.529999,197.750000,199.639999,198.138214,2390900
2018-05-31,200.220001,200.699997,197.699997,198.240005,196.748749,4822800
2018-06-01,195.449997,198.990005,195.000000,197.130005,195.647110,4056400
2018-06-04,197.320007,199.039993,197.250000,198.619995,197.125900,1870600
2018-06-05,199.220001,199.350006,196.990005,197.839996,196.351761,1868500
2018-06-06,198.009995,198.399994,196.699997,197.660004,196.173111,2066900
2018-06-07,200.500000,202.880005,199.410004,202.570007,201.046173,2735000
2018-06-08,201.509995,204.009995,201.000000,203.759995,202.227219,2052500
2018-06-11,203.759995,204.889999,203.419998,204.500000,202.961655,1684800
2018-06-12,204.250000,205.080002,203.229996,204.880005,203.338806,1384800
2018-06-13,204.919998,205.830002,203.210007,204.110001,202.574600,1665800
2018-06-14,204.869995,205.729996,204.289993,205.119995,203.576981,1685000
2018-06-15,205.399994,207.669998,204.570007,207.320007,205.760452,3879600
2018-06-18,206.000000,208.110001,205.149994,206.210007,204.658798,1975000
2018-06-19,204.899994,207.809998,204.619995,207.529999,205.968872,1940600
2018-06-20,207.759995,208.589996,206.960007,207.979996,206.415466,1527700
2018-06-21,208.169998,211.110001,208.000000,209.960007,208.380600,1825800
2018-06-22,210.369995,211.770004,210.020004,211.100006,209.512024,1738600
2018-06-25,210.009995,212.080002,209.970001,211.750000,210.157135,2398600
2018-06-26,212.380005,212.460007,209.970001,210.089996,208.509613,2276700
2018-06-27,210.500000,212.419998,209.610001,210.029999,208.450058,2211700
2018-06-28,210.000000,211.190002,208.050003,208.710007,207.140015,1826700
2018-06-29,209.660004,210.529999,208.320007,208.979996,207.407959,2164600
2018-07-02,208.419998,208.820007,206.050003,207.990005,206.425415,1876100
2018-07-03,208.529999,209.910004,206.899994,207.119995,205.561935,842100
2018-07-05,208.199997,209.289993,207.550003,209.139999,207.566757,1436700
2018-07-06,207.139999,210.389999,206.660004,209.619995,208.043152,1523200
2018-07-09,210.520004,211.789993,210.000000,210.940002,209.353226,1738300
2018-07-10,210.990005,212.699997,210.830002,211.699997,210.107498,1687800
2018-07-11,211.210007,211.779999,209.970001,210.949997,209.363144,1472800
2018-07-12,212.539993,214.169998,212.220001,214.020004,212.410049,2222000
2018-07-13,214.000000,216.639999,213.710007,216.539993,214.911072,1951200
2018-07-16,216.639999,217.130005,213.899994,214.850006,213.233810,2078200
2018-07-17,214.059998,216.160004,214.000000,215.000000,213.382675,2064800
