Date,Open,High,Low,Close,Adj Close,Volume
2017-12-29,67.459999,67.720001,66.800003,67.389999,64.449554,5918800
2018-01-02,68.070000,69.830002,67.599998,69.519997,66.486618,8678200
2018-01-03,69.970001,71.639999,69.129997,71.330002,68.217644,9529200
2018-01-04,71.760002,73.190002,71.260002,73.099998,69.910408,12252300
2018-01-05,72.949997,73.680000,72.250000,73.599998,70.388596,8552700
2018-01-08,73.349998,74.919998,72.709999,74.800003,71.536232,9778900
2018-01-09,74.779999,75.300003,74.559998,74.900002,71.631882,9370300
2018-01-10,75.120003,76.070000,75.000000,75.599998,72.301323,10017600
2018-01-11,75.669998,77.220001,75.419998,77.050003,73.688072,10248700
2018-01-12,77.370003,78.089996,77.050003,77.970001,74.567924,9211500
2018-01-16,77.750000,78.000000,76.949997,77.169998,73.802818,11902500
2018-01-17,77.000000,77.790001,76.410004,77.209999,73.841080,7647500
2018-01-18,76.570000,77.470001,75.690002,76.370003,73.037735,10588500
2018-01-19,75.000000,77.180000,74.250000,76.419998,73.085548,13389800
2018-01-22,77.040001,79.879997,76.839996,79.790001,76.308510,13192700
2018-01-23,79.820000,80.349998,78.580002,79.209999,75.753815,9332600
2018-01-24,78.959999,79.250000,77.669998,78.180000,74.768753,10369000
2018-01-25,78.980003,79.089996,77.230003,77.330002,73.955849,7142000
2018-01-26,77.690002,78.180000,77.389999,77.610001,74.223625,6055300
2018-01-29,77.089996,77.410004,76.099998,76.379997,73.047287,7877900
2018-01-30,75.400002,75.790001,73.930000,74.540001,71.287582,11371000
2018-01-31,74.889999,74.949997,73.110001,73.580002,70.369469,10198700
2018-02-01,73.790001,75.559998,73.790001,75.510002,72.215256,8671600
2018-02-02,74.879997,75.250000,73.360001,73.690002,70.474663,9066600
2018-02-05,72.849998,74.379997,70.589996,71.349998,68.236763,11310300
2018-02-06,69.510002,72.559998,69.000000,71.040001,68.419762,12391900
2018-02-07,71.150002,72.529999,69.620003,69.750000,67.177338,7345000
2018-02-08,69.800003,69.900002,67.349998,67.400002,64.914017,12186000
2018-02-09,68.180000,68.370003,63.369999,65.190002,62.785538,19725600
2018-02-12,66.370003,67.680000,66.269997,66.839996,64.374672,11382800
2018-02-13,66.629997,66.860001,65.680000,65.919998,63.488613,7959900
2018-02-14,65.339996,66.269997,64.570000,65.870003,63.440445,13030900
2018-02-15,66.250000,66.250000,64.820000,66.209999,63.767910,8844500
2018-02-16,66.150002,67.290001,65.900002,66.279999,63.835327,7512500
2018-02-20,66.709999,67.199997,65.260002,65.610001,63.190037,6840700
2018-02-21,65.349998,66.089996,64.379997,64.400002,62.024677,7855000
2018-02-22,64.839996,65.970001,64.699997,64.959999,62.564014,8393800
2018-02-23,65.300003,66.699997,65.070000,66.500000,64.047218,7652000
2018-02-26,67.150002,67.269997,66.300003,66.730003,64.268738,6605000
2018-02-27,67.300003,69.050003,66.860001,66.910004,64.442093,8736100
2018-02-28,67.389999,67.680000,65.620003,65.639999,63.218929,10144600
2018-03-01,65.489998,66.720001,65.029999,65.220001,62.814426,9674000
2018-03-02,64.650002,65.720001,63.900002,65.470001,63.055210,6797200
2018-03-05,64.930000,66.589996,64.910004,66.160004,63.719753,5274300
2018-03-06,66.839996,67.120003,66.089996,66.629997,64.172424,5131400
2018-03-07,65.870003,66.500000,65.220001,66.230003,63.787178,5851900
2018-03-08,66.339996,66.779999,65.779999,66.739998,64.278358,6099100
2018-03-09,67.290001,69.070000,67.250000,68.779999,66.243118,8309700
2018-03-12,68.730003,69.209999,67.849998,68.089996,65.578568,5226700
2018-03-13,68.339996,68.459999,66.760002,67.139999,64.663605,6964300
2018-03-14,67.279999,67.650002,66.260002,66.430000,63.979794,5963300
2018-03-15,66.599998,66.900002,65.010002,65.349998,62.939629,6310900
2018-03-16,65.370003,66.639999,65.320000,66.099998,63.661964,9394300
2018-03-19,66.089996,66.120003,64.139999,64.699997,62.313606,6097500
2018-03-20,65.129997,66.099998,65.129997,65.559998,63.141880,5446300
2018-03-21,65.919998,68.269997,65.779999,67.739998,65.241470,7240300
2018-03-22,66.750000,66.970001,65.190002,65.519997,63.103359,7500000
2018-03-23,65.540001,66.699997,64.000000,64.139999,61.774261,8622100
2018-03-26,64.849998,65.220001,63.560001,64.459999,62.082462,7386100
2018-03-27,64.910004,66.089996,63.970001,64.480003,62.101727,6318000
2018-03-28,64.349998,64.629997,62.669998,63.209999,60.878563,7702900
2018-03-29,63.669998,65.209999,63.480000,64.779999,62.390656,7282800
2018-04-02,64.370003,64.660004,62.020000,63.480000,61.138603,7598600
2018-04-03,63.930000,64.849998,62.689999,64.790001,62.400284,8844500
2018-04-04,63.500000,64.989998,63.070000,64.809998,62.419544,6645700
2018-04-05,65.120003,66.389999,65.070000,65.769997,63.344131,6032900
2018-04-06,65.540001,65.540001,63.450001,64.360001,61.986149,7515900
2018-04-09,64.779999,65.080002,64.110001,64.260002,61.889839,6369700
2018-04-10,65.449997,67.430000,65.250000,66.709999,64.249474,8172300
2018-04-11,66.620003,67.980003,66.379997,67.550003,65.058495,8141900
2018-04-12,67.680000,68.040001,67.209999,67.559998,65.068115,5845300
2018-04-13,67.589996,68.099998,67.309998,67.949997,65.443726,7853500
2018-04-16,68.279999,68.739998,67.430000,68.519997,65.992706,9026400
2018-04-17,68.519997,68.980003,67.949997,68.660004,66.127541,6490400
2018-04-18,69.620003,71.000000,69.550003,70.339996,67.745583,8640300
2018-04-19,70.370003,70.919998,69.699997,70.279999,67.687798,7184700
2018-04-20,70.809998,71.250000,68.629997,69.230003,66.676529,9967400
2018-04-23,68.699997,68.970001,67.510002,68.910004,66.368332,6792000
2018-04-24,69.059998,69.800003,67.720001,68.279999,65.761559,7474500
2018-04-25,67.980003,69.269997,67.879997,69.099998,66.551315,5994000
2018-04-26,69.480003,70.099998,69.180000,69.470001,66.907677,8145000
2018-04-27,69.059998,69.699997,68.900002,69.080002,66.532059,4559500
